id,spoken_words,word_count
11327,choreographers,1
11328,haa,1
11329,high karate low low prices,6
11330,tell lie great deal,10
11331,ha,1
11332,hey mom learn karate happy,14
11333,sounds fine bart,4
11334,marge knock tv helps think owe somebody little apology,19
11335,,
11336,,
11337,leftorium,6
11338,,
12760,ow ow ow ow,4
11339,hey flanders business,4
11340,oh little pokey things gon na pick,10
11341,sorry owe,10
11342,money away accident,10
11343,thanks validate parking,8
11344,absotively posilutely,2
11345,flanders sold,6
11346,n mall security guards took good long look left handed ice cream scoop,20
11347,,
11348,greetings akira guide path true karate map art war sun tzu teach important lesson learn karate need use,42
11349,um excuse sir know hit guy break nunchucks,19
11350,ah yes impetuousness youth let read,11
11351,akira good man break blocks ice heads,14
11352,fill head wisdom hit ice,15
11353,yo sensei bathroom,8
11354,believe,7
11355,paying money read books hell,9
11356,,
11357,come touch death touch death touch death,11
11358,touch death,3
11359,,
11360,telling flanders store dee serted think bestest buddy marge,18
11361,dad know schadenfreude,7
11362,know schadenfreude tell dying know,16
11363,german term shameful joy taking pleasure suffering,15
11364,oh come lisa glad fall flat butt usually happy comfortable surrounded loved ones makes feel opposite shameful joy thing,41
11365,sour grapes,2
11366,boy germans word,8
11367,bart learn karate school today,10
11368,yeah come boy better worth bucks,11
11369,uh learned touch death,7
11370,ooh touch death,5
11371,permit demonstrate lisa shut eyes soon peace,14
11372,hey quit bart quit hey quit quit quit m o o o m,14
11373,bart use touch death sister,10
11374,,
11375,uh oh got ta karate class,7
11376,missed spot,4
11377,right comin outta way step aside lady,13
11378,hey boy class,5
11379,today learned rip man heart dies,18
11380,oh learn,4
11381,,
11382,ya swipe,3
11383,love lefties shot glass,6
11384,left handed pinking shears,3
11385,pinking shears let food court steal baked potatoes,13
11386,hey flanders busy hours,7
11387,oh oh oh expect things start picking soon think word mouth startin spread,20
11388,hey hear validate parking tickets purchase,9
11389,oh right rain left rain,13
11390,stamp ticket,4
11391,uh okay,2
11392,,
11393,hey homer neighbor store,7
11394,lousy sits day great job place,18
11395,crummy right handed corkscrews sell,7
11396,uh actually moe,4
11397,dunno,2
11398,,
11399,hey lis change channel,5
11400,change,3
11401,okay okay,2
11402,grow weary new channel change,10
11403,bart,3
11404,,
11405,apple apple apple come candy bar hey know apple want sinks gon na let time,30
11406,,
11407,simpson box mr burns desk chop chop,10
11408,ah look smithers member nuclear family helpful suggestions,17
11409,homer simpson sir,3
11410,simpson eh hmm hmmm monty burns,7
11411,hm handsome owner sight distracting female employees smithers,14
11412,got sir,3
11413,oh real apples vending machine sentence,18
11414,leave mr burns,5
11415,oh course worry plenty apples away precious apples,20
11416,note asking,8
11417,tell secretary said free apple right promise,21
11418,damned infernal gizmo kingdom left handed opener,10
11419,um mr burns,3
11420,come homer tell store dyin,12
11421,sorry flanders,2
11422,,
11423,huh,1
11424,sure interested dollars asking price,14
11425,sorry ned,2
11426,hey flexible pay night change mind,21
11427,hey flanders okay,5
11428,oh yeah sure thought rid clutter like,17
11429,oh good good caught dead buying hello,25
11430,ah got eye gas grill butane beaut,12
11431,bucks,7
11432,homer paid dollars year,12
11433,swindled friend bucks leave,12
11434,oh homer reasonable,4
11435,sorry cash neddie homer money bye bye neddie bye bye,14
11436,right homer,3
11437,dollars,2
11438,dollars,2
11439,want,5
11440,,1
11441,changed mind passing fancy threw lawn chairs maybe tool bench rekindle interest,28
11442,,
11443,hey eeboobely care steak rooney,7
11444,sounds scrump didly umptious dear old daddly doodly,5
11445,daddly doodly,1
11446,,
11447,homer flanders entire living room set pay,16
11448,seventy beans,3
11449,seventy dollars ned desperate,6
11450,sure discourage scavenger human misery,13
11451,hey hands china hutch,8
11452,good afternoon sir chuck ellis springfield collection agency ask think need pay bills,27
11453,oh know need pay,13
11454,feel good owe people money patient mr flanders,20
12855,,
11455,know wait minute homer simpson ned flanders lives,14
11456,oh,1
11457,flanders debt sure,7
11458,mistakes,4
11459,damn right handed ledgers write things,8
11460,uh store,5
11461,hey said homer simpson,6
11462,yeah,1
11463,thursday,4
11464,,
11465,,
11466,knock dead boy kid gon na black belt time,13
11467,,
11468,,
11469,hey check saxophone,5
11470,pretty boss stuck,8
11471,hey,1
11472,hey look elvis man,8
11473,belongs,10
11474,want,7
11475,okay sorry time gon na,12
11476,hey stop,3
11477,hey lis wrong,4
11478,punks taste medicine brother knows karate,23
11479,uh oh,2
11480,oh real scared,4
11481,hurt bart,5
11482,gon na throw diapers,10
11483,yeah laughing makes madder come bart start touch death,24
11484,think learned lesson lis,8
11485,want touch death,9
11486,yeah come karate kid waste,7
11487,funny wrongs right,9
11488,,
11489,homer,3
11490,oh flanders uh want stuff,11
11491,house homer nice fellow bank job came locked,28
11492,gon na live car,6
11493,oh oh little campout tonight sister apartment capital city hey think kids big city,26
11494,yay,1
11495,todd want talk uncle homer head car till,19
11496,okay dad gray skies gon na clear,8
11497,happy face brush clouds cheer happy face,17
11498,gloomy mask tragedy style look good glad decided smile pleasant outlook stick noble chin wipe doubt look happy grin spread sunshine place happy face,58
11499,listen singing poor fools homer ruined,10
11500,know,2
11501,know times like turn bible find solace good book help,25
11502,,2
11503,sold seven cents,8
11504,oh,1
11505,know barbecue gone right like curse,17
11506,oh fault,5
11507,,3
11508,yes,3
11509,tried warn gambling family future pig poke listen homer true friend,26
11510,swine,5
11511,listen flanders store,8
11512,days libertarian party headquarters hope better luck,19
11513,flanders open store tomorrow,6
91859,,
11514,oh homer point,5
11515,said,4
11516,hello jerry homer simpson remember month paid loan need favor,24
11517,left handed corkscrew oh baby,5
11518,kiss left handed classic,7
11519,whoa,1
11520,homer simpson phone,5
11521,tell went,5
11522,needs help ned flanders,7
11523,ned flanders trouble,5
11524,,
11525,smithers licked open,7
11526,okay softened sir,9
11527,hold smithers open,7
11528,sir,3
11529,mall explain way,8
11530,,
11531,hurry neddie hurry oh golly miracle,8
11532,lefties tell,7
11533,homer,1
11534,backwards right,9
11535,world turned tin plated friend look proud feel wrath left hand burns,30
11536,life begins today,4
11537,wow icebreaker,4
11538,left handed ledgers write way edge,12
11539,ah ha ha left handed nunchuks,5
11540,wow,1
11541,boys diners club think gone mad oh roadster corner,23
11542,yes sir,2
11543,huzzah shopkeep,4
11544,homer affordable tract housing neighbors friends,12
11545,ned flanders richest handed man town,10
11546,everybody grey skies gon na clear,7
11547,stick noble chin wipe doubt look slap happy grin spread sunshine place happy face,30
11548,,
11549,good mornin world,3
11550,ow,1
11551,,
11552,good morning lisa,3
11553,happy,6
11554,happy beautiful day homework got mojo workin field trip afternoon,27
11555,looks like got genuine glow dark police badge,11
11556,hey stole,8
11557,wants stupid police badge bart,8
11558,hey look got genuine official police badge calling cars come hands,19
11559,hey badge homer,5
11560,officer homer heh heh heh heh,7
11561,,
11562,lousy prize grabbing badge wearing,3
11563,ate homework,4
11564,know dogs,7
11565,,
11566,wait wait,2
11567,,
11568,,
11569,,
11570,,
11571,bart simpson late fill tardy slip,10
11572,minutes pretty damn late,12
11573,,
11574,hey girls look,5
11575,stop lookin,7
11576,,
11577,,
11578,nearly know means,11
11607,,
11608,glasses,2
94618,,
11579,right time field trip chocolate factory trust remembered bring permission slips,22
11580,,
11581,,
11582,,
11583,day,3
11584,,
11585,gon na eat pieces chocolate,7
11586,gon na eat chocolate till barf,7
11587,,
11588,worry bart find fun,11
11589,ah box unsealed envelopes pta,14
11590,making lick envelopes,5
11591,oh licking envelopes fun game,17
11592,kind game,4
11593,example lick hour try break record,21
11594,sounds like pretty crappy game,8
11595,yes started,4
11596,,
11597,oh god cocoa beanie,7
11598,think bart enjoyed way learn,17
11599,,
11600,welcome chocolate factory troy mcclure probably remember films revenge abe lincoln wackiest covered wagon west history chocolate starts ancient aztecs,38
11601,days instead wrapped hygienic package chocolate wrapped tobacco leaf,18
11602,instead pure chocolate like today mixed shredded tobacco eat smoked,24
11603,,
11604,believe said fun,13
11605,thir,2
11606,,
11609,kids play sanitary,4
11610,,
11611,tan die doe dow,4
11612,,1
11613,tan die doe dow,4
11614,hmm minute oh tell teacher let home early,23
11615,die,2
11616,,
11617,,
11618,,
11619,,2
11620,uh oh,1
11621,,
11622,hey kid,5
11623,hands material,4
11624,whaddaya know kid tough,5
11625,got spunk,3
11626,wonder lucky pick horse kid shelbyville downs race good,20
11627,eat shorts,3
11628,eat shorts ah okay let heyy wait minute little punk eat shorts fifth race said race,27
11629,cow,4
11630,hmm cow deuce,13
11631,waiting lucky let bar slot machine card tables,29
11632,cool,1
11633,hey boss race,9
11634,come turn sufferin succotash neck yabbadabbadoo lengths ai stinker folks yam yam comes donhavacow flyin outside wire donhavacow,51
11635,hey like kid believe gon na shoot mix drinks,17
11636,know,3
11637,manhattan,4
11638,legs manhattan,4
11639,sure,4
11640,,1
11641,supoib,1
11642,,
11643,got job,6
11644,oh dunno mixing drinks picking horses cuttin cigars know job,14
11645,bart father want homer,13
11646,pay,5
11647,thirty bucks week,4
11648,pfft,6
11649,lookin thanks doll,7
11650,,
11651,funny true,5
11652,obsoived,2
11653,chief wiggum honor presence,8
11654,baloney gon na rest bars happen know cigarette truck got hijacked route,30
11655,truck,3
11656,play dumb,5
11657,relax chief tense know boy makes excellent manhattan,14
11658,ah gon na away know,9
11659,good chief,4
11660,bart started smoking,5
11661,,1
11662,lie boy,5
11663,aha cigarettes thought,6
11664,boss said warehouse,10
11665,yeah right son gon na teach lesson going stand watch smoke cigarettes maybe learn,27
11666,uh fat tony sent pick goods,11
11667,right man,5
11668,hey kid look good cigarette kind sophisticated,11
11669,son doubt,6
11670,contents hijacked truck thousand cartons laramie,13
13082,homer homer,2
11671,uh number leads let assure smokers shortage cigarettes,25
11672,know,5
11673,right let refer question jack larson laramie tobacco products jack,16
11674,thank chief folks pleased announce new truckload laramies smooth good taste rich tobacco flavor heading springfield driver instructed ignore stop signs crosswalks,41
11675,police suspect involvement reputed mobster william fat tony williams,12
11676,fat tony cancer fair city cancer uh cures cancer,21
11677,bart boss crook,6
11678,think explain awful lot,11
11679,,
11680,boys wish thank hanging stuff,15
11681,thanks uh guys crooks,7
11682,bart um wrong steal loaf bread feed starving family,16
11683,,1
11684,suppose got large starving family wrong steal truckload bread feed,20
11685,uh uh,1
11686,family like bread like cigarettes,11
11687,guess okay,4
11688,instead giving away sold price practically giving away crime bart,26
11689,hell,2
11690,enjoy gift,3
11691,supoib,1
11692,,
11693,fingers hair sly come hither stare strips conscience bare witchcraft gimme fingers milk ma,24
11694,,
11695,know good boy time job sure people bart working thinks criminals,26
11729,kiss death need,8
11696,job job mean plant pollutes water poisons town logic criminal,27
11697,bart acting strangely pizza delivery truck parked street weeks,20
11698,long deliver pizza,9
11699,,
11700,looks like cover blown,5
11701,let roll,2
11702,,
11703,imagination,6
11704,homer want club talk kind people homie,24
11705,oh right,3
11706,,
11707,hee hee hee hee hee read weep boys pair sixes,12
11708,beats,2
11709,bluffin,3
11710,win homer,4
11711,,
11712,thrilled decided let boy continue work,13
11713,know need hat check girl got daughter,13
11714,homer hellava father,5
11715,,
11716,homer find,6
11717,marge thing going lot male bonding,14
11718,,
11719,stink lines boys,4
11720,boys,7
11721,ai seen beat,7
11722,,
11723,fat tony invite associates club promise finest manhattans springfield bartender,30
11724,know happened late louie manhattans,13
11725,know wine spritzers,9
11726,,1
11727,deserve flat flavorless manhattan,10
11728,come boys,3
11730,lousy skinner,2
11731,late work,5
11732,course late work time principal skinner keeps school,19
11733,guy skinner causing trouble,6
11734,sure patrone,4
11735,hm meet greet individual come boys,14
11736,,
11737,large men sir,7
11738,appointment large men,10
11739,skinner,2
11740,principal skinner yes ask past hall monitors,16
11741,,
11742,children know break principal skinner missing,15
11743,uh oh,1
11744,,
11745,,
11746,thought found cat,11
11747,,
11748,,
11749,assure advanced scientific techniques field body finding,22
11750,wedding bells vanna white teddy kennedy,10
11751,princess opal stick principal skinner,11
11752,chief wiggum merely conduit spirits willie nelson astound fans swimming english channel,21
11753,willie nelson,3
11754,,
11755,loved fire drills,4
11756,ya hold lass wee bairns,12
11757,,
11758,hey look skinner body,7
11759,funny lewis,5
11760,heard skinner buried parking spot,9
11761,heard ground hamburger served lunch,14
11762,heard bart skinner killed gangsters,8
11763,true rumor engaged speculation know law prove,19
11764,,
11765,killed bart,4
11766,,
11767,killed bart,4
11768,,
11769,k killed bart,4
11770,,
11771,,
11772,reverend lovejoy come comfort,8
11773,yes bart,6
11774,,
11775,kill boy kill boy,6
11776,,
11777,,
11778,,
11779,hours early work like,9
11780,kill principal,5
11781,uh chinese guy mustache,6
11782,principal,3
11783,skinner guy naw kill,8
11784,arrest murder seymour skinner,12
11785,murder,3
11786,play dumb cuff boys,8
11787,,
11788,oh bart gotten paper route like boys,13
11789,wait till home boy,7
11790,guy,5
11791,lionel hutz court appointed attorney defending charge murder wow lose famous,23
11792,,
11793,simpson boy looking eighty years,11
11845,yeah right,3
11846,,
11794,thank god live country hysterical crime year old child tried adult,21
11795,,
11796,order skinner guy killed,7
11797,head gang,8
11798,stop club occasionally read complimentary newspaper,13
11799,kingpin capo de tuti capi,10
11800,guy,3
11801,hey,1
11802,forgive don bartholomew,4
11803,tried stop kid quit like went crazy,16
11804,prostitution loan sharking numbers kid liked wet beak,13
11805,mr simpson boy father years think leader murderous criminal syndicate,24
11806,leader mean oh true true pieces fit,15
11807,light damning testimony fellow gangsters father teachers seemingly endless parade emotionally shattered baby sitters court choice,30
11808,stop,1
11809,principal skinner,2
11810,thought dead,5
11811,suppose wondering started week ago desk revising updating school dress codes,27
11812,,
11813,suddenly confronted gang toughs acting behalf bart simpson said,20
11814,think promise boy,8
11815,,2
11816,okay okay yell,7
11817,,
11818,mind ugly confrontation went home began bundling old newspapers suddenly pile fell trapped let lesson recycle frequently,33
11899,eww lemon ugh cherry hmm custard mmm purple,8
11900,,
94829,,
11819,week stayed alive eating mother delicious preserves maintained sanity dribbling nearby basketball free hand game seeing times bounce ball day trying break record occasionally police arrived search home,59
11820,,
11821,find time boys,5
11822,nah sign chief,6
11823,princess opal,2
11824,afraid splitsville delta burke major dad,15
11825,happy,5
11826,shouted hoarse hear,11
11827,,
11828,,3
11829,let,3
11830,okay chief,2
11831,finally realized going,20
11832,formed crude rocket discarded cigar tube remembering experiment days fourth grade science teacher concocted fuel baking soda juice discarded lemon wedges,37
11833,rocket took mighty blast carbon dioxide dragging end vacuum cleaner cord,21
11834,grabbed vacuum cleaner pushed cord retractor button way freedom,19
11835,,
11836,courageous story,5
11837,honor prosecution moves principal skinner testimony stricken record,14
11838,denied case dismissed,3
11839,honor paid,7
11840,,
11841,hey bart hope hard feelings,9
11842,bent,2
11843,deserved look know let boys think got big future racketeering extortion,27
11844,sorry fat tony think gang cool learned crime pay,19
11901,,
11847,blood blackboard bart simpson story starring richard chamberlain principal skinner joe mantegna fat tony jane seymour woman loved tv doogie howser neil patrick harris bart simpson,36
11848,bart scared let outta,7
11849,shaddup,1
11850,want skinner,6
11851,smart,2
11852,cool,1
11853,hey check,9
11854,said changed pay,15
11855,know real crooks sleazy hollywood producers,11
11856,,
11857,good news according eye catching article sat scores declining slower rate,16
11858,dad think paper flimsy hodgepodge pie graphs factoids larry king,16
11859,hey paper america afraid tell truth fine,20
11860,bestest bud milhouse happy birthday bart,8
11861,bart sweet card,9
11862,hey year old afford new drum,13
11863,nice pair bongos ewww,9
11864,,
11865,open open open,7
11866,uh maybe little later bart,6
11867,aw milhouse cuz mom let party mean present,19
11868,lovely time saturday milhouse,8
11869,liked balloons,4
11870,liked party hats,5
11871,girls talkin,6
11872,,1
11873,twins open present,4
11874,official krusty clown walkie talkies want talk phone tell turn walkie talkie,35
11875,milhouse like express appreciation saturday jelly bean baskets personalized noisemakers little touches enduring,23
11876,talkin,4
11877,uh hey look dog,9
11878,wow brown,2
11879,whoa springfield elementary stop oh way like thanks applause applause birthday boy milhouse totally bitchin party saturday,29
11880,uh milhouse think left pants roof,12
11881,party invite thought best friends,16
11882,sorry bart,2
11883,bye little dudes learn learn,9
11884,,
11885,ah monday morning time pay days debauchery hung drones,15
11886,sir,2
11887,yeah weekend smithers,9
11888,caught laundry wrote letter mother oh kicker took hercules clipped,24
11889,devil hercules,5
11890,yorkshire terrier sir kind tiny know joke picture herkie,20
11891,smithers know paint town red,11
11892,ask spent weekend,8
11893,bit overly familiar allow took movie appalling little piece filth leading lady blonde harlot spent half film strolling naked jaybird,38
11894,great unwashed pair oversized breasts happy ending oink time,21
11895,movie blonde cutie assets,11
11896,sounds like kind flick,6
11897,,2
11898,,
11902,otto welcome,2
11903,apu hey got ba ad case munchies man time heat lamp dog,15
11904,oh otto otto know small child inside bus,13
11905,ooo good thing warned way mexico,13
11906,,
11907,,
11908,old fashioned movies sexier actors kept clothes vilma banky raised eyebrow entire,28
11909,warning problem sector,5
11910,g good god safety inspector,8
11911,homer simpson sir,3
11912,simpson eh good man intelligent,5
11913,actually sir hired project bootstrap,8
11914,thank president ford,4
11915,,
11916,huh noise bad noise,4
11917,minutes critical mass,5
11918,critical wha okay okay panic whosever problem sure know handle,18
11919,huh ahhh problem doomed,7
11920,sector g isolated,6
11921,,
11922,best friend shafted otto man,11
11923,aw sure know old lady ran married brother hurt month later sleeping couch,32
11924,,
11925,margarita want,4
11926,mr devereaux work conditions,8
11927,way baby fired,7
11928,oh avery,2
11929,mr devereaux,6
11930,interrupt search sun special news bulletin,11
11931,meltdown crisis couple minutes,7
12364,k b b talk radio,3
11932,forget hair blush oh,11
11933,station learned crisis progress springfield nuclear power plant,18
11934,oh lord,3
11935,line plant owner montgomery burns mr burns,14
11936,oh hello kent right skilled nuclear energy technicians calmly correcting minor piffling malfunction,16
11937,,
11938,,
11939,assure public absolutely danger whatsoever,16
11940,,
11941,things ship shape,6
11942,sir radiation suit,5
11943,hell know,6
11944,,
11945,uh mr burns people calling meltdown,9
11946,oh meltdown annoying buzzwords prefer unrequested fission surplus,17
11947,homie right,5
11948,,
11949,got ta think got ta think okay thingee tells work stuff um uh manual manual right,26
11950,uh huh fat phone book congratulations purchase fissionator slow fission reactor point man ooh,27
11951,thought nuclear reactor complicated,10
11952,,
11953,ninety seconds core meltdown,5
11954,sir time love sir,13
11955,oh hot dog thank making moments earth socially awkward,15
11956,,
11957,looks like end,6
11958,right led richer life,10
11959,,
11960,meltdown expect roving bands thieves tie traffic,16
11961,like program,5
11962,change channel,3
11963,wheel fortune,3
11964,,
11965,understand look stupid dictionary picture,18
11966,,
11967,dear lord spare town smoking hole ground try better christian know ummm oooh time canned food drive poor actually like instead old lima beans pumpkin mix,55
11968,,
11969,minute core meltdown,5
11970,shut,2
11971,simpson showtime,8
11972,okay okay think training,7
11973,,
11974,homer save life day homer,13
11975,yes,1
11976,pay attention button controls emergency override circuit event meltdown push button button,24
11977,ooh,3
11978,simpson,1
11979,,1
11980,button pushing,7
11981,yeah yeah yeah push button got,8
11982,fault okay got ta pick button pick button pick button uh potato potato potato wait bubble gum bubble gum dish pieces wish,41
11983,,
11984,thirty seconds core meltdown,5
11985,oh smithers guess left kiss sorry butt good bye,14
11986,sir,3
11987,,
94987,,
11988,unfortunate people instantly killed circle sad experience slower considerably painful death,27
11989,good lord,2
11990,,
11991,called old fashioned teaching duck cover laughing,14
11992,,
11993,seconds core meltdown,5
11994,eenie meenie minee moe catch tiger toe hollers let eenie meenie minee moe,20
11995,systems returning normal danger g neutralized nice day,13
11996,,
11997,,6
11998,sure baby meltdown,4
11999,,
12000,like solve puzzle loins fountain,11
12001,,
12002,yes isolated problem know false alarm single wayward crow flew warning system,22
12003,good sir point nuclear hysteria taken reporter promises trusting vigilant future,25
12004,,
12005,excellent ta hmmm smithers sell snake oil bring wine spritzer stingy vino,26
12006,yes sir,2
12007,smithers underestimated homer simpson employee month,12
12008,,
12009,milhouse little salt,4
12010,sure,1
12011,party let play,10
12012,bart mom wo let friend anymore come party,18
12013,got,5
12014,says bad influence,6
12015,bad influence ass times told listen mother,16
12016,bart threatened cut allowance,9
12017,paying double,7
12018,sorry bart,4
12019,,
12020,sir employee month recall percent ceiling keogh plan saved company,24
12021,smithers bean counter simpson man,10
12022,hey way save lives,6
12023,yeah owe,5
12024,hey know boys nuclear reactor lot like woman read manual press right button,24
12025,simpson monty burns come,7
12026,homer bravery skill award ham plaque discount coupon book personal thumbs,28
12027,insure immortality heroic visage added wall fame oh uh congratulatory phone earvin magic johnson,29
12028,magic johnson,3
12029,homer simpson,5
12030,yeah,1
12031,wow homer time congratulate diverting nuclear holocaust,19
12032,thank,3
12033,magic play ankle incredible pain,12
12034,care,3
12035,uh magic people think guy hero lucky,16
12036,worry sooner later people like exposed frauds,15
12037,thanks magic,2
12038,,
12039,bart laughing subtle,6
12094,think marge,5
12040,nah depressed milhouse mom wo let play,14
12041,homer buy pound ham,15
12042,heroic competence narrowly averting melt proving question nuclear power completely safe employee month ohh homer,21
12043,role model home convenient,10
12044,look admiration respect work need home,16
12045,enjoying ham homie,7
12046,tastes bitter like ashes mouth,10
12047,hmm actually honey glaze,9
12048,maybe ate clove,5
12049,problem boy,4
12050,fight milhouse,6
12051,eyes big nose need friends like,12
12052,zen,2
12053,,8
12054,looking quiet awe,6
12055,long quiet,6
12056,milhouse bart milhouse bart hate,11
12057,,
12058,oooh right boss eh know,13
12059,,
12060,ah simpson want meet aristotle amadopolis owner shelbyville nuclear power facility,18
12061,huh wha,2
12062,ari having terrible worker problems shelbyville,10
12063,lost zest work help find eanae eharatou nah duleve,13
12064,eanae eharatou nah dule,2
12065,yeah,1
12066,want pep talk turns bunch donut eating goof offs pack homer simpsons,24
12067,tell sir,8
12095,,
12068,oh cut false modesty getting tiresome duty employee month ham plaques,21
12069,smithers kind pay visit,11
12070,help sir parking terrible,9
12071,man love power plant,9
12072,begone sight,4
12073,problem,6
12074,,
12075,community chest,5
12076,nah,1
12077,nah,1
12078,ah won second prize beauty contest collect bucks,12
12079,ha ha losing,4
12080,bart feed sister hotels,6
12081,worry mom tons things,8
12082,think game old play milhouse,16
12083,wanna play milhouse,6
12084,mean,9
12085,mom says bad influence maggie let throw rocks hornet nest,19
12086,,
12087,mrs van houten bart mother met emergency room boys drank paint,18
12088,remember come,5
12089,,
12090,marge sorry think better milhouse son,16
12091,look know bart handful know like inside got spark bad thing course makes bad things,33
12092,marge day milhouse told meatloaf sucks gotten little boy certainly word tv,29
12093,defend let face bart milhouse young girls popular target bullies christmas pageant sheep let friends,45
12096,time somebody tells county folk good honest people spit faces,21
12097,mr gumbel excuse profiling dad school paper thought neat follow day makes tick,36
12098,oh sweet follow dad lot bars,15
12099,beer chocolate milk,8
12100,uh excuse chocolate milk,8
12101,oh,1
12102,matter homer depressin effects alcohol usually kick til closing time,16
12103,little nervous speech tomorrow cool crisis,20
12104,gon na gon na,10
12105,hey speech pretty nervous little trick pictured underwear judge jury lawyer everybody,31
12106,work,3
12107,free man ai,6
12108,,
12109,milhouse bart want come play,11
12110,friends mom die,10
12111,uh think,5
12112,cares milhouse right sorry maggie game,11
12113,hey mom friends milhouse,7
12114,knew mother come senses,10
12115,thanks sticking,6
12116,makes think,7
12117,,3
12118,good,3
12119,,2
12120,,
12121,look sea smiling faces filled sense loathing revulsion workers pack mangy cud chewing ugly goats treat today real man behold glory homer simpson,54
14097,poor guy,2
12122,uh ladies gentlemen,4
12123,picture underwear,6
12124,um grace pressure,6
12125,minutes meltdown,4
12126,whew saved bell,5
12127,seconds core meltdown,5
12128,,6
12129,right,2
12130,,
12131,eeenie meenie minee moe catch tiger toe hollers let eenie meenie minee moe,20
12132,crisis averted super,7
12133,thank homer saving plant idiotic rhyming know button pushed,19
12134,sure moe,2
12135,eenie meenie minee moe homer hero answer kent brockman cents scott christian laugh half,31
12136,thanks kent dumb luck news today police chief wiggum foiled bank hold trying chief come bank cash penny jar,39
12137,,3
12138,good work chief,3
12139,job,4
12140,yes chief pulled homer simpson,12
12141,,
12142,whoa,1
12143,huh pretzel wow looks like pulled homer,10
12144,,
12145,lakers ball magic johnson coming floor fast break magic stops feet slip ball flies hand hits referee head goes basket point play lakers win,49
12146,looks like pulled homer,6
12147,,
12148,dad belongs ages,8
12149,,
14098,,
12150,hold hand final axe,8
12151,kids time today,10
12152,like thank sideshow mel corporal punishment tina ballerina oh knots landing miss donna mills oh sport,23
12153,lots lots lots lots lots time come old clown found dead bed heaven,40
12154,time,5
12155,,
12156,great krusty laughed,8
12157,yeah yeah yeah nicotine gum,7
12158,ahh stuff damn exhausted kids like ice,14
12159,got merchandising meeting,6
12160,cancel,2
12161,therapist,1
12162,cancel,2
12163,personal trainer,2
12164,cancel,2
12165,opening line giants half,11
12166,dime,5
12167,thank dinner bart simpson,6
12168,know bart simpson,6
12169,krusty boy saved jail,9
12170,terrible terrible mistake uh wo happen,11
12171,boy trusted bart,11
12172,yes sir,2
12173,thank,2
12174,,
12175,oh yeah cancel,4
12176,,
12177,hello,1
12178,,
12179,mrs simpson lois pennycandy krusty clown executive assistant,11
12180,oh hello mrs pennycandy,4
12210,read,2
12181,miss pennycandy assure sorry inform krusty joining bart dinner,23
12182,oh dear fifth time cancelled hurt loves,18
12183,oh mrs simpson wasted womanhood asking question apologize important came minute,24
12184,,
12185,lousy mildew eh good,6
12186,,
12187,thank calling good bye,6
12188,okay milhouse krusty autographs,12
12189,,
12190,,2
12191,consider,3
12192,walking suddenly dig dig dig,21
12193,,
12194,start big,8
12195,sweetie sorry krusty coming dinner,10
12196,aw man,2
12197,dear krusty bart simpson krusty buddy respectfully returning badge,13
12198,,
12199,suspected life mattered know sure bent bart simpson,17
12200,,
12201,ooh sex chat,3
12202,reached party line moment connected hot party world beautiful women let join party,29
12203,hello,1
12204,hello,1
12205,women,6
12206,hello,1
12207,beautiful woman,5
12208,sound like beautiful woman,7
12209,sort party anticipated,11
97234,,
12211,uh ehhh deeee eeee deeaar dear krust,6
12212,says little boy lost faith lost faith krusty going bart simpson house dinner tonight,28
12213,plans,4
12214,hey face,4
12215,maddening impossible man tonight wo tomorrow,15
12216,oh alright,4
12217,sure hate missing schnapps night friars club,11
12218,,
12219,bart wipe feet,4
12220,bother dirty,7
12221,got good news krusty clown coming dinner tonight,13
12222,sure,4
12223,yes,1
12224,god bless clown,4
12225,think,4
12226,hi kids hey hey,4
12227,heh heh cute kid,4
12228,oh hi bart neighborhood krusty clown surprise,16
12229,milhouse come drop charade,9
12230,krusty tonight,8
12231,talking course,9
12232,dad krusty guest pratfalls punchinello antics necessary,14
12233,,1
12234,yeah relax,6
12235,ohh relief,4
12236,wait car,5
12237,seen monkey,6
12238,wants grace,5
12239,let guest,8
12240,bless o lord,4
12241,hey,1
12242,krusty honors,6
12269,clown respected member community,11
119204,,
12243,alright little rusty um try baruch ata addonoy elohanu melech ha olom ha motzee le chem mean ha aretz,20
12244,talking funny talk,4
12245,dad hebrew krusty jewish,8
12246,jewish entertainer outta,6
12247,dad prominent jewish entertainers including lauren bacall dinah shore william shatner mel brooks,17
12248,mel brooks jewish,4
12249,krusty alright,4
12250,yes saying brucha brings lot painful memories old days father,20
12251,hey krusty gon na finish meatloaf,10
12252,poor krusty like black velvet painting come life,11
12253,krusty tell wrong feel better,11
12254,yeah spill guts man,5
12255,come,2
12256,yeah krusty tell,4
12257,okay real krusty clown hershel krustofsky father rabbi father rabbi father father idea,34
12258,,
12259,father respected man lower east springfield people come miles ask advice,24
12260,reb krustofsky finish college,6
12261,yes poor lacks knowledge,10
12262,rabbi child,6
12263,yes child blessing house,10
12264,rabbi buy chrysler,6
12265,rephrase ethical question,10
12266,hmm right buy chrysler,8
12267,yes great car power steering dyna flow suspension,12
14869,,
12271,hershel life fun life seltzer drinking spraying pie noshing throwing,22
12272,papa,3
12273,zetz wo know hit,21
12274,,
12275,dad wanted follow footsteps pull clowning strong got big laughs yeshiva impersonating father,27
12277,,
12278,boy follow footsteps,9
12279,worry like bathroom,11
